Hours_Studied,Attendance,Previous_Score,Assignments_Completed,Pass
2.0,80,78,2,1
2.9,76,44,3,0
3.8,49,82,3,0
9.3,98,90,0,1
6.2,75,71,10,1
4.5,51,88,8,1
4.3,89,63,9,1
11.5,57,68,3,1
11.8,89,66,3,1
5.9,70,74,8,1
9.5,57,66,1,0
6.5,97,80,5,1
9.7,58,35,4,0
0.9,99,86,10,1
5.7,52,98,4,1
8.4,48,43,9,1
2.9,43,97,3,1
0.6,66,72,7,0
9.2,40,100,2,0
11.2,96,90,7,1
9.1,58,71,4,1
10.9,45,59,8,1
10.2,42,52,6,1
2.1,98,34,6,1
2.2,87,67,0,0
6.8,46,72,4,0
7.7,73,93,2,1
5.6,52,44,5,0
5.5,56,53,0,0
9.5,76,54,2,0
7.7,65,84,8,1
4.8,46,53,2,0
11.2,40,63,6,0
9.0,61,68,9,1
0.1,81,76,3,0
1.4,59,50,6,0
11.1,96,69,1,1
11.3,63,58,3,1
5.7,69,77,6,1
11.0,88,98,10,1
9.1,83,40,8,1
8.4,44,44,0,0
10.8,52,98,2,0
10.3,68,44,10,1
7.0,45,95,7,1
5.4,72,83,7,1
6.7,83,69,0,0
9.8,87,57,9,1
5.1,84,38,8,1
11.2,44,90,0,0
2.2,48,83,5,1
4.6,95,78,6,1
11.6,95,99,2,1
4.2,51,98,6,1
8.7,54,30,0,0
5.6,86,99,6,1
9.9,55,88,5,1
2.3,96,44,0,0
5.0,89,32,3,0
1.2,42,87,9,1
10.5,55,35,6,0
6.5,88,37,2,0
3.5,92,70,9,1
8.1,60,60,4,1
11.8,73,58,6,1
0.7,100,52,10,1
6.7,43,74,10,1
9.4,60,83,6,1
4.5,88,98,7,1
2.7,94,48,7,1
6.7,66,97,2,1
3.1,61,40,7,1
1.1,86,54,0,0
8.1,78,35,1,0
9.1,86,57,7,1
10.9,59,31,3,0
11.5,47,91,3,1
8.4,65,60,8,1
3.4,69,98,10,1
3.1,72,93,7,1
11.8,70,70,3,0
5.0,76,58,2,0
6.6,77,83,4,1
4.0,64,61,7,1
11.3,61,62,7,1
7.7,71,88,2,1
4.2,48,99,7,1
10.7,81,37,8,0
10.2,100,36,0,0
10.1,54,38,2,0
6.1,63,37,9,1
11.2,98,91,10,1
0.1,75,82,0,0
8.7,74,66,0,0
8.4,67,52,1,0
6.3,55,54,9,1
9.8,57,80,1,0
4.9,76,61,3,0
9.9,45,34,1,0
4.5,70,37,10,0
2.1,71,85,10,1
6.8,94,42,8,1
2.8,97,90,4,1
0.9,99,65,8,1
0.4,99,70,0,1
7.0,88,80,1,0
6.8,76,79,10,1
4.0,88,47,1,0
11.7,43,42,6,0
0.9,78,80,5,0
3.3,68,92,3,1
11.3,67,53,10,1
4.6,89,67,3,1
1.0,49,78,10,1
4.7,63,43,1,0
3.7,63,64,1,0
2.2,68,95,6,1
1.1,75,41,9,1
3.9,64,31,4,0
9.4,86,61,9,1
8.2,50,47,4,0
5.9,44,51,6,0
3.6,90,39,5,0
3.0,80,93,9,1
5.5,48,68,0,0
4.0,79,78,5,1
5.2,92,47,4,0
11.4,52,91,5,1
4.8,60,67,10,1
6.9,55,71,6,0
9.4,63,44,9,0
12.0,51,100,0,1
5.5,85,56,7,1
10.0,44,82,10,1
7.6,55,62,10,1
5.1,64,39,7,1
5.8,65,98,8,1
10.4,66,99,0,1
4.3,97,98,9,1
1.0,89,61,10,1
2.0,79,35,9,1
8.1,65,72,6,0
1.2,54,95,8,1
8.3,54,87,5,1
9.3,77,94,2,1
0.3,46,67,6,1
1.0,93,48,5,0
5.5,53,96,7,1
1.2,86,87,5,1
0.5,85,44,0,0
7.8,83,51,3,0
6.6,61,84,7,1
4.9,51,53,10,1
4.7,87,55,7,1
4.7,85,57,3,0
8.4,90,38,9,1
10.5,51,76,5,0
1.4,82,92,8,1
3.8,64,80,9,1
4.2,69,52,10,1
3.6,79,40,10,1
1.4,59,44,2,0
1.7,64,83,9,1
4.6,51,92,10,1
11.0,99,52,8,1
3.5,51,70,7,1
10.4,100,31,7,0
9.8,75,94,10,1
8.2,66,86,7,1
6.8,90,58,4,0
2.7,58,51,7,0
9.3,71,100,8,1
1.4,89,99,5,1
9.1,88,86,8,1
5.1,87,61,4,1
0.4,56,74,1,0
11.9,89,60,3,1
7.1,62,84,2,1
9.4,92,56,0,0
6.4,78,98,2,1
8.4,58,64,8,1
8.2,46,47,6,1
11.9,95,46,2,0
8.5,93,61,10,1
1.7,80,64,10,1
5.4,80,41,6,0
3.3,99,77,7,1
3.9,40,41,7,0
8.4,94,38,8,1
11.6,92,57,7,1
9.9,61,100,9,1
10.2,90,73,10,1
0.6,80,88,0,0
10.3,68,88,0,1
5.1,84,46,10,1
10.5,96,65,1,1
3.0,63,51,0,0
3.7,84,59,6,1
8.4,40,57,7,0
7.1,73,86,0,0
4.1,47,84,2,0
2.7,45,43,1,0
10.6,48,78,2,0
8.1,44,97,9,1
7.8,68,74,3,1
1.8,66,86,3,0
1.2,88,45,9,1
4.2,67,70,2,0
7.7,55,100,9,1
7.3,89,33,10,1
2.5,78,95,3,1
3.5,43,60,7,0
2.9,80,39,8,1
0.1,63,70,2,0
10.1,66,76,8,1
9.2,89,39,0,0
0.2,53,35,0,0
4.8,58,94,6,1
4.8,80,98,8,1
3.3,59,40,8,1
11.7,49,98,5,1
7.6,93,38,4,0
8.8,94,60,0,0
11.1,47,88,9,1
3.7,87,52,1,0
1.6,40,50,7,1
6.3,90,63,2,0
9.0,95,64,1,1
0.4,91,84,4,1
3.2,76,39,7,0
4.3,71,51,5,0
9.3,97,44,3,0
0.0,94,31,3,0
4.4,98,49,2,1
10.3,75,83,3,1
5.0,86,70,4,1
6.9,47,94,10,1
2.2,91,96,0,1
0.8,69,66,4,0
6.6,40,77,3,0
9.4,87,61,7,1
11.7,89,55,8,1
2.9,40,82,0,0
4.2,93,31,5,0
7.9,94,69,1,0
11.8,66,92,0,1
1.7,57,41,0,0
10.8,73,82,5,1
9.0,77,42,8,0
9.8,44,37,6,0
1.6,58,63,5,1
4.7,93,71,5,1
2.8,100,55,2,0
7.0,49,43,2,0
3.8,47,98,5,1
2.5,59,89,4,1
1.1,91,68,9,1
10.0,60,48,1,0
11.6,65,95,0,1
3.1,51,33,6,0
6.7,75,61,1,0
9.6,48,45,0,0
9.4,54,46,3,0
4.5,80,40,9,1
11.0,44,32,1,0
7.8,91,46,1,0
10.0,61,45,0,0
0.6,99,85,6,1
4.6,67,52,5,0
2.2,57,87,2,0
7.4,55,67,7,1
6.6,43,41,4,0
5.0,81,97,3,1
9.6,90,32,6,1
4.3,74,92,5,1
6.0,64,64,2,0
7.2,41,65,0,0
5.7,62,59,2,0
7.9,57,98,0,1
11.4,76,79,5,1
11.9,51,52,3,0
9.7,84,75,9,1
8.4,100,48,9,1
10.0,91,93,8,1
5.9,45,37,3,0
0.2,70,30,5,0
2.4,48,73,2,0
10.1,60,37,0,0
8.5,49,44,8,1
11.5,63,80,9,1
3.6,48,50,6,0
11.5,81,70,2,1
6.7,96,75,3,1
9.8,64,69,4,0
8.7,100,80,9,1
7.2,98,58,10,1
11.2,49,72,1,0
11.8,50,41,10,1
10.6,68,31,4,0
8.3,62,62,1,0
0.6,68,83,2,1
5.9,64,74,8,1
9.9,90,58,2,0
9.6,42,67,0,0
11.4,44,73,2,0
1.9,44,100,1,0
11.8,97,91,0,1
7.8,78,85,2,0
4.0,52,82,8,1
8.8,56,66,4,0
0.6,76,100,7,1
4.3,67,41,4,0
7.5,70,55,1,0
2.0,58,40,7,0
3.7,65,90,7,1
3.2,81,99,6,1
10.6,63,53,7,0
5.3,56,58,4,0
1.8,84,42,1,0
9.7,66,59,8,1
4.6,73,83,8,1
11.2,76,60,7,1
4.7,94,34,8,1
6.2,76,48,1,0
5.4,100,51,3,1
1.5,67,40,10,1
12.0,80,48,9,1
10.9,98,38,1,0
4.8,60,65,8,1
10.5,90,96,6,1
1.8,76,42,1,0
1.2,58,98,5,1
3.2,81,92,9,1
0.4,57,81,2,0
8.2,65,34,6,0
4.0,55,36,7,0
10.8,41,73,4,0
10.1,94,42,3,0
11.7,68,71,4,1
7.3,45,54,7,0
9.9,87,92,8,1
9.9,72,50,1,0
6.1,48,97,9,1
2.3,93,55,0,0
5.5,98,76,3,1
9.9,72,80,10,1
8.2,55,77,7,1
2.1,95,90,9,1
4.1,93,63,1,0
4.6,50,57,3,0
8.1,57,82,8,1
9.4,89,31,7,1
7.8,78,31,3,0
9.7,59,65,6,1
10.2,69,62,3,0
8.1,92,80,9,1
6.1,82,77,8,1
7.3,59,43,7,0
11.9,80,71,4,1
8.5,97,68,3,0
9.2,97,37,9,1
3.8,48,33,10,0
3.5,98,83,6,1
0.4,85,54,5,1
2.7,74,90,10,1
3.6,50,53,4,0
1.5,56,53,10,1
7.9,54,75,3,1
3.7,90,72,5,1
3.5,94,45,7,0
7.6,77,39,7,1
6.0,95,78,8,1
0.6,94,49,2,0
4.1,76,88,2,0
8.6,89,40,7,0
11.8,60,37,0,0
2.5,89,51,9,1
5.9,88,41,2,0
7.6,65,84,7,1
0.5,52,77,0,0
9.1,73,54,0,0
7.5,55,58,5,0
1.2,72,69,2,0
0.5,100,67,7,1
7.2,61,85,10,1
4.1,97,92,5,1
2.0,98,81,0,0
8.7,48,57,0,0
2.0,63,34,6,0
3.1,74,36,9,1
7.9,81,32,0,0
5.0,64,45,8,0
8.4,53,31,4,0
1.2,73,64,9,1
1.6,93,43,8,1
1.4,47,43,7,0
2.4,56,96,3,1
4.9,50,35,8,0
2.5,99,91,5,1
0.2,45,44,9,0
1.8,45,95,1,0
1.2,56,59,7,1
3.6,69,36,1,0
10.5,94,67,5,1
3.8,87,44,1,0
10.7,40,47,10,1
3.9,97,86,9,1
8.8,63,73,2,0
4.8,69,64,6,1
5.7,66,51,1,0
8.7,100,50,1,0
7.1,91,86,2,1
9.3,79,33,10,1
8.7,97,46,7,1
1.4,66,86,0,0
7.9,40,97,9,1
2.7,82,73,8,1
8.4,46,85,10,1
5.8,82,79,2,1
6.7,79,36,0,0
1.9,94,90,7,1
0.9,71,71,3,0
3.3,72,58,8,1
4.8,55,40,7,0
6.9,45,93,7,1
11.8,87,32,1,0
0.4,75,30,1,0
11.6,80,68,8,1
7.9,69,73,5,1
9.8,94,88,5,1
7.4,70,76,7,1
9.1,54,30,5,0
7.6,91,67,8,1
8.4,42,51,7,0
8.6,86,82,1,0
2.4,47,80,3,0
9.4,85,73,1,1
0.6,80,45,7,0
7.1,72,47,7,0
8.8,75,85,9,1
6.1,98,52,9,1
9.8,46,79,10,1
10.6,72,79,6,1
11.0,88,61,4,1
4.1,58,87,2,0
7.2,96,95,4,1
6.6,60,100,10,1
2.5,85,67,10,1
8.1,85,52,8,1
7.6,85,44,5,0
7.0,100,83,10,1
10.1,58,84,0,0
0.3,49,36,10,0
3.2,90,50,4,0
1.8,43,67,3,0
0.4,92,87,1,1
8.1,75,58,10,1
2.9,90,66,10,1
4.6,66,70,8,1
8.9,52,86,3,1
8.5,81,77,9,1
7.2,89,54,4,0
11.8,44,53,2,0
1.4,42,84,4,0
1.6,77,62,0,0
8.5,49,35,2,0
7.2,89,68,7,1
6.6,44,70,8,1
2.2,44,94,2,0
6.4,45,74,3,1
8.0,61,76,4,0
9.0,73,90,8,1
11.8,40,44,10,1
2.9,81,61,0,0
3.9,98,44,6,0
8.7,41,96,5,1
6.1,71,35,4,0
2.3,72,40,1,0
11.5,74,98,0,1
2.5,80,57,10,1
1.2,74,85,10,1
0.9,83,49,0,0
4.0,45,39,0,0
3.0,44,59,4,0
5.4,65,85,5,0
8.1,74,30,10,1
0.8,87,35,1,0
6.0,58,68,9,1
9.2,68,78,6,1
0.4,50,98,3,0
4.7,91,99,4,1
1.7,83,77,0,0
6.7,47,35,0,0
4.7,75,40,4,0
8.9,86,74,3,1
7.8,72,48,2,0
7.4,56,54,1,0
9.6,94,36,8,1
6.6,58,38,4,0
8.7,71,72,5,0
7.9,46,66,9,1
2.3,71,87,5,1
3.7,77,49,9,1
9.7,67,51,0,0
9.4,85,85,4,1
1.6,86,72,7,1
4.3,59,92,8,1
7.7,45,65,2,0
2.4,86,39,1,0
10.2,80,33,9,1
9.2,53,34,8,0
10.7,74,90,10,1
4.4,54,67,2,0
6.1,65,76,8,1
2.9,91,51,8,1
1.9,76,48,7,1
0.5,88,92,3,1
4.4,42,56,8,1
4.3,70,88,0,0
7.8,46,96,10,1
10.0,56,99,9,1
7.8,63,39,8,0
11.7,54,96,6,1
10.4,71,91,9,1
10.6,68,51,3,0
7.7,53,49,2,0
7.2,92,45,10,1
9.7,86,44,7,1
5.7,77,50,10,1
0.3,42,46,9,0
1.6,72,35,9,0
2.0,99,53,8,1
7.2,76,32,10,1
11.4,53,87,9,1
10.4,50,58,6,1
9.5,92,53,9,1
3.2,86,73,7,1
0.8,64,79,2,0
2.4,95,94,10,1
1.8,46,52,7,1
7.2,96,98,8,1
1.1,82,46,9,1
0.0,100,85,8,1
10.5,84,97,6,1
9.6,90,78,5,1
8.9,88,42,6,0
5.7,54,40,4,0
6.5,56,54,0,0
9.5,76,96,1,1
4.5,53,70,6,0
1.9,81,62,4,1
5.1,63,65,10,1
2.4,75,91,2,1
6.7,56,69,9,1
8.5,87,47,10,1
2.8,90,50,1,0
4.8,61,100,9,1
8.5,50,79,10,1
1.1,49,90,9,1
0.8,54,77,1,0
8.7,99,81,9,1
3.4,78,37,2,0
5.3,52,96,4,1
9.4,72,96,3,1
8.1,63,60,10,1
1.9,57,81,5,1
4.9,52,96,0,0
0.8,45,100,4,1
6.7,77,74,5,1
3.3,78,54,7,1
6.9,56,52,6,0
6.7,72,67,5,1
9.6,56,98,9,1
5.3,64,91,3,1
11.5,69,88,9,1
5.8,56,38,6,0
11.9,83,59,5,1
4.2,74,31,4,0
1.1,83,73,1,0
2.1,60,75,3,1
3.2,100,54,7,1
2.8,55,63,3,0
10.0,93,75,2,1
1.4,45,93,9,1
10.3,42,91,5,1
5.9,96,65,7,1
9.2,72,65,6,1
6.9,43,97,6,1
6.5,72,74,6,1
9.3,69,45,8,1
8.3,40,56,6,0
3.9,79,63,2,0
2.8,70,73,5,0
5.1,66,77,5,1
3.4,51,46,9,1
9.8,86,64,3,1
10.3,52,48,2,0
0.1,66,93,2,1
10.2,73,98,5,1
3.6,75,36,6,0
2.0,53,62,7,1
1.2,87,72,4,1
6.7,99,62,5,0
1.5,95,55,9,1
7.8,51,66,5,0
6.1,89,87,1,1
3.4,80,48,2,0
11.1,66,81,1,0
4.1,60,70,10,1
3.2,81,80,4,1
9.4,100,76,9,1
5.4,50,53,0,0
2.8,56,40,3,0
1.2,44,90,8,1
9.3,73,40,1,0
1.9,81,79,4,1
8.9,68,46,2,0
2.0,42,75,5,1
5.6,95,99,4,1
1.6,100,99,2,1
5.5,87,85,8,1
6.4,98,74,7,1
9.7,68,69,5,1
1.9,40,30,8,0
10.2,62,66,7,1
8.3,71,91,4,1
5.2,58,59,0,0
2.3,96,85,6,1
8.6,81,79,6,1
1.0,80,60,8,1
10.9,91,64,4,1
6.4,57,82,3,1
2.2,58,44,10,1
5.4,84,92,3,1
1.8,74,32,2,0
3.4,48,86,0,0
1.8,71,57,5,0
9.4,71,77,7,1
0.4,45,48,0,0
4.7,74,90,2,0
10.1,92,78,0,0
9.2,55,79,7,1
11.9,52,88,1,0
11.8,70,79,10,1
11.2,50,35,8,0
3.0,80,68,3,0
0.6,82,57,1,0
5.2,40,51,4,0
4.7,55,31,0,0
8.3,84,49,5,1
3.0,71,41,10,1
11.2,88,37,0,0
1.8,74,43,2,0
3.8,75,74,7,1
0.3,64,75,2,0
0.5,85,86,8,1
8.4,52,53,8,0
8.8,57,100,2,0
1.9,58,63,8,1
0.0,80,94,6,1
10.6,79,76,9,1
8.7,82,98,6,1
8.2,89,100,2,1
3.9,81,71,1,0
7.9,42,46,2,0
2.4,71,54,1,0
7.7,64,92,8,1
7.1,43,76,3,0
0.9,99,56,10,1
10.7,45,89,10,1
6.7,100,83,5,1
0.7,79,64,8,1
0.8,59,39,3,0
1.2,86,59,8,1
2.3,82,61,9,1
2.1,87,83,1,1
6.9,83,88,10,1
1.2,90,53,8,1
4.1,50,98,9,1
4.2,60,100,5,1
4.9,80,85,5,1
6.8,53,78,8,1
3.0,68,87,6,1
0.4,58,32,8,0
10.7,40,68,3,0
3.8,89,65,8,1
6.8,76,49,1,0
4.3,48,63,5,1
3.0,56,68,1,0
6.8,53,39,5,0
2.1,92,42,9,1
0.4,91,78,1,1
11.1,61,74,6,1
10.4,95,59,10,1
11.1,80,78,0,0
0.5,74,49,5,0
2.6,43,80,7,1
6.9,45,58,6,0
4.7,48,73,1,0
8.9,75,81,4,0
6.0,89,46,2,0
2.4,65,55,8,1
8.8,55,61,1,0
5.2,83,41,1,0
5.1,62,54,5,0
7.9,89,69,2,1
7.4,91,86,9,1
0.5,92,59,3,0
1.9,86,40,1,0
2.9,79,48,4,0
8.3,47,69,7,1
4.0,87,98,3,1
6.3,56,100,7,1
11.9,84,32,6,0
8.0,42,62,2,0
2.4,84,64,0,0
11.3,44,79,10,1
10.2,82,76,1,0
10.4,81,79,3,1
6.1,85,42,5,0
7.2,45,53,3,0
5.5,99,32,0,0
6.4,61,92,6,1
0.2,83,75,5,1
2.8,72,65,0,0
10.5,96,33,8,1
2.7,61,80,10,1
8.8,73,59,6,0
1.8,59,72,7,1
2.5,48,99,10,1
10.4,59,97,2,1
10.9,89,48,10,1
11.0,60,38,8,0
8.6,51,70,2,0
9.2,96,82,6,1
8.9,92,65,2,1
1.3,51,33,9,0
7.3,79,59,9,1
8.2,62,40,7,0
10.2,70,77,2,1
5.9,48,50,3,0
4.9,40,64,6,0
8.1,52,56,1,0
11.5,68,92,5,1
10.7,67,81,0,0
9.9,86,70,6,1
